efficiencySum	efficiencyAvg	efficiencyMax	effectiveSizeSum	effectiveSizeAvg	effectiveSizeMax	constraintSum	constraintAvg	constraintMax	hierarchySum	hierarchyAvg	hierarchyMax	class
7,597281512	0,759728151	1	65,4293432	6,54293432	32,37589803	6,059631749	0,605963175	1	4,102357491	0,410235749	1	strong
1,952232295	0,976116148	1	33,37589803	16,68794902	32,37589803	1,231193494	0,615596747	1	1,537132222	0,768566111	1	strong
1,952232295	0,976116148	1	33,37589803	16,68794902	32,37589803	1,231193494	0,615596747	1	1,537132222	0,768566111	1	strong
3,390601746	0,847650437	1	39,45150173	9,862875433	32,37589803	2,702573915	0,675643479	1	2,65826781	0,664566952	1	strong
1,344018415	0,672009208	0,844018415	6,908128908	3,454064454	5,908128908	1,013788808	0,506894404	0,746775003	0,668503784	0,334251892	0,519747051	strong
3,381425727	0,845356432	1	43,42480263	10,85620066	32,37589803	2,254831118	0,563707779	1	2,924983784	0,731245946	1	strong
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	strong
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	strong
1,952232295	0,976116148	1	33,37589803	16,68794902	32,37589803	1,231193494	0,615596747	1	1,537132222	0,768566111	1	strong
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	strong
1,392356132	0,696178066	0,952232295	35,45676489	17,72838245	32,37589803	0,713053075	0,356526538	0,481859581	0,658488157	0,329244079	0,537132222	strong
1,952232295	0,976116148	1	33,37589803	16,68794902	32,37589803	1,231193494	0,615596747	1	1,537132222	0,768566111	1	strong
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
3,868898962	0,644816494	1	39,12589803	6,520983006	32,37589803	5,046297661	0,84104961	1,021701389	1,807613828	0,301268971	1	less
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
1,96138555	0,980692775	0,993739737	10,72238571	5,361192857	7,741166501	1,454837474	0,727418737	0,933528705	1,840121807	0,920060904	0,98967085	less
1,952232295	0,976116148	1	33,37589803	16,68794902	32,37589803	1,231193494	0,615596747	1	1,537132222	0,768566111	1	less
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
2,05489436	0,684964787	0,993739737	7,50007538	2,500025127	3,355165692	2,220597412	0,740199137	0,933528705	1,963683729	0,654561243	0,98967085	less
1,904513889	0,952256944	1	9,140625	4,5703125	8,140625	1,323732597	0,661866299	1	1,548481341	0,77424067	1	less
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
1,952232295	0,976116148	1	33,37589803	16,68794902	32,37589803	1,231193494	0,615596747	1	1,537132222	0,768566111	1	less
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
1,998245614	0,999122807	1	3,994736842	1,997368421	2,994736842	1,98952084	0,99476042	1	1,999779653	0,999889826	1	less
2,83538786	0,472564643	0,64810262	22,4598749	3,743312483	6,481026198	3,143287223	0,523881204	0,638787113	1,096662596	0,182777099	0,254494142	less
1,952232295	0,976116148	1	33,37589803	16,68794902	32,37589803	1,231193494	0,615596747	1	1,537132222	0,768566111	1	less
