efficiencySum	efficiencyAvg	efficiencyMax	effectiveSizeSum	effectiveSizeAvg	effectiveSizeMax	constraintSum	constraintAvg	constraintMax	hierarchySum	hierarchyAvg	hierarchyMax	class
6,26576489	0,447554635	0,871062757	429,3280913	30,66629223	131,5304763	3,978541319	0,284181523	0,794311568	4,849564407	0,346397458	0,833841029	strong
6,790401653	0,617309241	1	352,4314039	32,03921854	131,5304763	5,601441571	0,509221961	1	5,36959467	0,48814497	1	strong
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	strong
8,66354291	0,721961909	1	481,8908462	40,15757052	131,5304763	6,380720032	0,531726669	1	7,260928953	0,605077413	1	strong
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	strong
7,936056929	0,721459721	1	422,6015196	38,41831996	131,5304763	5,346177063	0,486016097	1	5,761112615	0,52373751	1	strong
7,995851032	0,666320919	1	432,5249687	36,04374739	131,5304763	6,521801014	0,543483418	1	7,161127809	0,596760651	1	strong
4,534259119	0,647751303	0,871062757	324,9123328	46,41604755	131,5304763	3,796654864	0,542379266	0,794311568	3,810513614	0,544359088	0,833841029	strong
2,134824315	0,711608105	0,801846915	155,0948644	51,69828814	90,60870143	0,613294236	0,204431412	0,306501416	1,394709739	0,464903246	0,521860643	strong
2,132100975	0,710700325	0,871062757	211,4587545	70,4862515	131,5304763	1,339241678	0,446413893	0,673520556	1,989353699	0,6631179	0,833841029	strong
5,191564692	0,741652099	1	273,3508831	39,05012616	97,52772994	3,597645175	0,513949311	1	4,162282346	0,594611764	1	strong
2,849804938	0,712451234	1	151,8845791	37,97114478	97,52772994	3,041313866	0,760328466	1	2,901089196	0,725272299	1	strong
5,247748268	0,749678324	1	404,2649278	57,75213254	131,5304763	3,825893348	0,546556193	1	4,358111708	0,622587387	1	strong
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
5,554911798	0,694363975	1	366,3837535	45,79796919	131,5304763	4,516527046	0,564565881	1	4,947326437	0,618415805	1	strong
8,585376253	0,660413558	1	542,0156455	41,69351119	131,5304763	5,312761213	0,408673939	1	6,249299698	0,480715361	1	strong
3,467791851	0,433473981	0,780221839	152,9411619	19,11764524	97,52772994	3,217650176	0,402206272	0,794311568	2,289044045	0,286130506	0,78726523	strong
3,411424032	0,568570672	0,780221839	210,19681	35,03280167	97,52772994	2,460158706	0,410026451	0,794311568	2,36550073	0,394250122	0,78726523	strong
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	strong
5,601778854	0,466814905	1	317,0663255	26,42219379	131,5304763	6,17408214	0,514506845	1	4,41195434	0,367662862	1	strong
2,933397523	0,586679505	0,871062757	283,4777046	56,69554092	131,5304763	3,302512	0,6605024	0,794311568	3,120740598	0,62414812	0,833841029	strong
5,191564692	0,741652099	1	273,3508831	39,05012616	97,52772994	3,597645175	0,513949311	1	4,162282346	0,594611764	1	strong
7,503317139	0,441371596	1	352,596748	20,74098518	131,5304763	8,235699607	0,484452918	1	5,590037287	0,328825723	1	strong
2,132100975	0,710700325	0,871062757	211,4587545	70,4862515	131,5304763	1,339241678	0,446413893	0,673520556	1,989353699	0,6631179	0,833841029	strong
5,324960987	0,532496099	0,871062757	438,4059574	43,84059574	131,5304763	4,398357763	0,439835776	0,794311568	4,639304382	0,463930438	0,833841029	strong
5,751323663	0,575132366	0,871062757	351,4876218	35,14876218	131,5304763	4,701468319	0,470146832	0,794311568	4,416718807	0,441671881	0,833841029	strong
8,809879655	0,463677877	1	480,3700972	25,28263669	131,5304763	8,039017719	0,423106196	1	6,207262131	0,326698007	1	strong
3,933397523	0,655566254	1	284,4777046	47,41295076	131,5304763	4,302512	0,717085333	1	4,120740598	0,6867901	1	strong
5,745013569	0,638334841	1	385,1322639	42,79247376	131,5304763	4,8030102	0,5336678	1	4,866524276	0,54072492	1	strong
2,132100975	0,710700325	0,871062757	211,4587545	70,4862515	131,5304763	1,339241678	0,446413893	0,673520556	1,989353699	0,6631179	0,833841029	strong
3,467791851	0,433473981	0,780221839	152,9411619	19,11764524	97,52772994	3,217650176	0,402206272	0,794311568	2,289044045	0,286130506	0,78726523	strong
3,467791851	0,433473981	0,780221839	152,9411619	19,11764524	97,52772994	3,217650176	0,402206272	0,794311568	2,289044045	0,286130506	0,78726523	strong
4,445901352	0,740983559	1	313,6562264	52,27603773	131,5304763	3,711365542	0,618560924	1	3,963226347	0,660537724	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
2,139403851	0,713134617	0,81797528	54,99327505	18,33109168	52,3504179	2,384429841	0,794809947	0,812539186	0,994076335	0,331358778	0,775137731	strong
4,196008099	0,699334683	0,871062757	379,4149341	63,23582234	131,5304763	2,327456211	0,387909368	0,794311568	3,4670184	0,5778364	0,833841029	strong
3,506461935	0,584410322	0,871062757	290,6708503	48,44514171	131,5304763	2,050309816	0,341718303	0,673520556	2,496898194	0,416149699	0,833841029	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
4,646967111	0,774494519	1	243,7214647	40,62024411	97,52772994	4,131500157	0,68858336	1	4,407739528	0,734623255	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
1,801846915	0,900923458	1	91,60870143	45,80435071	90,60870143	1,114527806	0,557263903	1	1,394885361	0,697442681	1	strong
7,783529338	0,648627445	1	451,4069441	37,61724534	131,5304763	5,198233407	0,433186117	1	5,854414337	0,487867861	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	strong
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
4,534259119	0,647751303	0,871062757	324,9123328	46,41604755	131,5304763	3,796654864	0,542379266	0,794311568	3,810513614	0,544359088	0,833841029	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
2,891020838	0,578204168	0,871062757	181,2144809	36,24289618	131,5304763	1,882293713	0,376458743	0,673520556	2,703236	0,5406472	0,833841029	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
4,467791851	0,496421317	1	153,9411619	17,10457355	97,52772994	4,217650176	0,468627797	1	3,289044045	0,365449338	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
7,783529338	0,648627445	1	451,4069441	37,61724534	131,5304763	5,198233407	0,433186117	1	5,854414337	0,487867861	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
3,324309186	0,831077297	1	58,90742306	14,72685577	52,3504179	3,012125935	0,753031484	1	3,044405161	0,76110129	1	strong
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	strong
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	strong
7,995851032	0,666320919	1	432,5249687	36,04374739	131,5304763	6,521801014	0,543483418	1	7,161127809	0,596760651	1	strong
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
3,324309186	0,831077297	1	58,90742306	14,72685577	52,3504179	3,012125935	0,753031484	1	3,044405161	0,76110129	1	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
2,803182166	0,700795541	1	166,1343112	41,53357779	131,5304763	2,200320387	0,550080097	1	2,3621517	0,590537925	1	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
7,388963545	0,615746962	1	373,5225619	31,12688016	131,5304763	6,808160405	0,5673467	1	5,929668584	0,494139049	1	less
10,27491016	0,642181885	1	585,1829321	36,57393326	131,5304763	6,702965172	0,418935323	1	7,144847246	0,446552953	1	less
3,506461935	0,584410322	0,871062757	290,6708503	48,44514171	131,5304763	2,050309816	0,341718303	0,673520556	2,496898194	0,416149699	0,833841029	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
5,978855872	0,597885587	0,871062757	468,2489801	46,82489801	131,5304763	3,859027496	0,38590275	0,794311568	4,215092903	0,42150929	0,833841029	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
5,317188882	0,590798765	0,871062757	441,6116472	49,0679608	131,5304763	4,19165043	0,465738937	0,794311568	4,445111527	0,493901281	0,833841029	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
5,793330821	0,579333082	1	329,2494672	32,92494672	131,5304763	4,54476214	0,454476214	1	5,39778991	0,539778991	1	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
3,506461935	0,584410322	0,871062757	290,6708503	48,44514171	131,5304763	2,050309816	0,341718303	0,673520556	2,496898194	0,416149699	0,833841029	less
4,601778854	0,418343532	0,871062757	316,0663255	28,73330232	131,5304763	5,17408214	0,470371104	0,794311568	3,41195434	0,310177667	0,833841029	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
2,139403851	0,713134617	0,81797528	54,99327505	18,33109168	52,3504179	2,384429841	0,794809947	0,812539186	0,994076335	0,331358778	0,775137731	less
3,266684125	0,362964903	0,759130135	104,4820722	11,60911913	75,91301351	2,907552989	0,323061443	0,45279874	1,653686028	0,183742892	0,424944824	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
5,285767131	0,528576713	1	206,2915798	20,62915798	97,52772994	4,977001644	0,497700164	1	4,064181776	0,406418178	1	less
3,53309522	0,504727889	0,81797528	190,5518532	27,22169332	97,52772994	2,933685336	0,419097905	0,794311568	2,368660628	0,33838009	0,78726523	less
2,119662565	0,706554188	0,81797528	80,34311998	26,78103999	52,3504179	1,331646774	0,443882258	0,759351468	1,586653172	0,528884391	0,775137731	less
1,06220951	0,531104755	0,780221839	99,50164363	49,75082181	97,52772994	1,150472247	0,575236123	0,794311568	1,119579836	0,559789918	0,78726523	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
4,311643131	0,538955391	0,871062757	318,6157134	39,82696418	131,5304763	3,104939339	0,388117417	0,759351468	3,889569094	0,486196137	0,833841029	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
4,088603235	0,817720647	1	292,4402301	58,48804601	97,52772994	2,860455856	0,572091171	1	3,479148965	0,695829793	1	less
3,37895233	0,844738083	1	219,8721328	54,96803321	90,60870143	2,013246237	0,503311559	1	2,594967916	0,648741979	1	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
2,486386529	0,621596632	0,780221839	144,447391	36,11184776	97,52772994	1,714482638	0,428620659	0,794311568	1,672680551	0,418170138	0,78726523	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
4,188123611	0,698020602	1	288,0282785	48,00471308	131,5304763	4,067635638	0,677939273	1	4,051321793	0,675220299	1	less
3,139403851	0,784850963	1	55,99327505	13,99831876	52,3504179	3,384429841	0,84610746	1	1,994076335	0,498519084	1	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
4,601778854	0,418343532	0,871062757	316,0663255	28,73330232	131,5304763	5,17408214	0,470371104	0,794311568	3,41195434	0,310177667	0,833841029	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
4,561703878	0,414700353	0,81797528	228,5075523	20,77341385	90,60870143	3,801343501	0,345576682	0,759351468	2,364680528	0,214970957	0,775137731	less
6,610534205	0,661053421	1	326,7003596	32,67003596	97,52772994	6,26638676	0,626638676	1	5,894681079	0,589468108	1	less
2,349214522	0,587303631	0,759130135	110,6951664	27,6737916	75,91301351	1,309686459	0,327421615	0,515969623	1,245920894	0,311480224	0,431881747	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
1,672909672	0,836454836	0,871062757	222,1391777	111,0695889	131,5304763	0,788048363	0,394024181	0,673520556	1,22872639	0,614363195	0,833841029	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
2,783534605	0,695883651	1	102,2424552	25,56061381	90,60870143	2,113894035	0,528473509	1	2,181472672	0,545368168	1	less
3,506461935	0,584410322	0,871062757	290,6708503	48,44514171	131,5304763	2,050309816	0,341718303	0,673520556	2,496898194	0,416149699	0,833841029	less
9,187821513	0,612521434	1	349,1745422	23,27830281	97,52772994	7,87417545	0,52494503	1	5,927775752	0,39518505	1	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
4,601778854	0,418343532	0,871062757	316,0663255	28,73330232	131,5304763	5,17408214	0,470371104	0,794311568	3,41195434	0,310177667	0,833841029	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
5,247748268	0,749678324	1	404,2649278	57,75213254	131,5304763	3,825893348	0,546556193	1	4,358111708	0,622587387	1	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
1,801846915	0,900923458	1	91,60870143	45,80435071	90,60870143	1,114527806	0,557263903	1	1,394885361	0,697442681	1	less
1,490406115	0,745203058	0,801846915	141,5620822	70,78104112	90,60870143	0,30679282	0,15339641	0,192265013	0,916746004	0,458373002	0,521860643	less
1,303754998	0,651877499	0,801846915	94,62396609	47,31198305	90,60870143	0,640881965	0,320440983	0,526354159	1,125453208	0,562726604	0,730567846	less
2,681789704	0,670447426	0,871062757	282,4712733	70,61781833	131,5304763	2,81486117	0,703715293	0,794311568	2,782054363	0,695513591	0,833841029	less
3,310990526	0,662198105	0,871062757	314,5605152	62,91210304	131,5304763	2,97230127	0,594460254	0,794311568	3,094803072	0,618960614	0,833841029	less
4,517705181	0,564713148	0,871062757	262,7147027	32,83933783	131,5304763	2,941115471	0,367639434	0,673520556	3,512818789	0,439102349	0,833841029	less
1,81797528	0,90898764	1	53,3504179	26,67520895	52,3504179	1,759351468	0,879675734	1	1,775137731	0,887568865	1	less
4,188123611	0,698020602	1	288,0282785	48,00471308	131,5304763	4,067635638	0,677939273	1	4,051321793	0,675220299	1	less
3,623806727	0,603967788	0,871062757	358,5487646	59,75812743	131,5304763	2,644626645	0,440771107	0,794311568	2,753312306	0,458885384	0,833841029	less
8,591833137	0,357993047	0,871062757	594,056649	24,75236037	131,5304763	7,602448462	0,316768686	0,794311568	7,729982919	0,322082622	0,833841029	less
3,681789704	0,736357941	1	283,4712733	56,69425466	131,5304763	3,81486117	0,762972234	1	3,782054363	0,756410873	1	less
