developers	commits	updates	class
8	93	13	strong
3	23	1	strong
2	22	6	strong
8	62	14	strong
4	103	6	strong
3	43	2	strong
3	73	2	strong
3	23	4	strong
4	59	8	strong
3	5	2	strong
3	3	1	strong
2	8	1	strong
3	55	1	strong
3	4	1	strong
3	9	4	strong
3	81	1	strong
3	33	5	strong
2	57	2	strong
3	66	2	strong
3	39	6	strong
3	48	7	strong
5	95	10	strong
3	11	1	strong
3	9	3	strong
3	42	1	strong
8	66	9	strong
3	9	4	strong
3	8	4	strong
3	7	2	strong
4	61	3	strong
3	8	3	strong
3	27	4	strong
3	9	4	strong
2	59	9	strong
2	31	14	strong
3	8	3	strong
3	8	3	strong
3	42	3	strong
8	69	12	strong
3	8	4	strong
4	100	1	strong
3	21	6	strong
3	8	4	strong
3	24	7	strong
3	23	1	strong
3	23	10	strong
3	23	8	strong
3	54	15	strong
5	25	8	strong
4	64	5	strong
3	39	5	strong
3	15	5	strong
6	75	7	strong
7	40	4	strong
6	101	7	strong
3	27	8	strong
3	37	3	strong
3	6	2	strong
3	25	11	strong
5	79	6	strong
2	79	5	strong
3	7	2	strong
3	22	1	strong
8	105	9	strong
4	25	4	strong
2	20	6	strong
3	49	1	strong
3	56	4	strong
5	68	5	strong
3	12	1	strong
5	65	3	strong
8	39	12	strong
6	99	9	strong
3	18	1	strong
3	53	2	strong
5	25	9	strong
4	74	7	strong
3	96	6	strong
3	16	1	strong
4	45	13	strong
3	78	1	strong
4	57	9	strong
3	22	1	strong
3	5	2	strong
3	34	1	strong
5	107	8	strong
4	19	1	strong
3	19	1	strong
3	24	7	strong
3	60	1	strong
2	19	5	strong
3	102	5	strong
6	96	7	strong
3	10	3	strong
3	17	1	strong
4	26	3	strong
3	27	5	strong
2	22	4	strong
2	19	4	strong
2	31	11	strong
3	11	1	strong
3	22	7	strong
3	17	3	strong
2	93	4	strong
3	26	10	strong
3	44	1	strong
5	18	9	strong
3	52	2	strong
3	9	0	strong
3	21	1	strong
2	22	2	strong
6	118	8	strong
2	60	4	strong
2	28	10	strong
6	69	6	strong
3	44	1	strong
3	4	1	strong
3	68	4	strong
5	35	3	strong
3	42	4	strong
5	88	8	strong
3	26	1	strong
11	112	21	strong
3	22	6	strong
4	26	8	strong
3	16	1	strong
3	17	1	strong
3	3	1	strong
3	45	2	strong
3	108	5	strong
3	77	2	strong
3	8	2	strong
5	35	3	strong
6	77	6	strong
3	98	1	strong
3	28	3	strong
5	20	4	strong
2	59	2	strong
5	18	4	strong
3	18	1	strong
5	20	4	strong
3	43	1	strong
3	4	2	strong
3	6	2	strong
3	52	1	strong
3	9	0	strong
3	43	1	strong
3	23	8	strong
3	5	2	strong
5	37	3	strong
3	2	1	strong
3	8	3	strong
3	30	2	strong
3	13	1	strong
3	11	3	strong
3	17	3	strong
3	9	4	strong
3	22	4	strong
3	9	2	strong
4	10	5	strong
3	30	2	strong
3	9	4	strong
3	10	3	strong
5	33	7	strong
3	8	3	strong
3	10	5	strong
3	15	3	strong
2	26	8	strong
4	81	5	strong
3	67	5	strong
