developers	commits	updates	class
5	57	14	strong
2	55	7	strong
3	72	7	strong
2	34	7	strong
2	62	8	strong
2	34	8	strong
2	70	7	strong
3	62	10	strong
3	66	8	strong
3	31	3	strong
3	23	5	strong
6	47	4	strong
3	22	4	strong
3	47	4	strong
3	43	4	strong
3	51	5	strong
3	41	4	strong
3	37	3	strong
3	67	4	strong
3	41	3	strong
3	37	3	strong
2	16	5	strong
3	4	1	strong
4	13	0	strong
3	12	3	strong
3	37	7	strong
2	12	2	strong
3	65	6	strong
3	16	3	strong
3	52	12	strong
4	1	0	strong
3	41	3	strong
3	56	4	strong
5	0	0	strong
7	40	7	strong
5	9	3	strong
3	11	3	strong
7	59	3	strong
2	68	11	strong
21	54	3	strong
3	65	8	strong
2	44	1	strong
4	8	2	strong
3	31	3	strong
6	23	5	strong
3	12	3	strong
6	53	2	strong
3	63	6	less
4	0	0	less
3	27	9	less
4	20	9	less
8	3	0	less
4	1	0	less
6	15	4	less
3	16	3	less
6	54	3	less
7	47	7	less
3	87	9	less
2	45	3	less
3	33	12	less
9	57	18	less
12	34	4	less
3	14	4	less
3	6	3	less
2	5	1	less
5	0	0	less
4	43	8	less
5	3	0	less
5	0	0	less
5	7	1	less
5	4	0	less
3	17	6	less
5	3	0	less
5	11	0	less
5	0	0	less
5	4	0	less
5	0	0	less
5	11	0	less
6	54	5	less
5	0	0	less
21	19	1	less
5	11	0	less
2	22	4	less
5	3	0	less
6	11	0	less
5	4	0	less
5	11	0	less
5	0	0	less
3	46	1	less
3	37	4	less
5	3	0	less
5	4	0	less
5	4	0	less
5	15	1	less
5	11	0	less
5	24	3	less
5	3	0	less
5	0	0	less
3	24	3	less
5	14	1	less
3	14	3	less
5	0	0	less
5	0	0	less
