developers	commits	updates	class
11	209	5	strong
2	201	4	strong
11	205	4	strong
24	209	10	strong
9	209	12	strong
4	226	8	strong
7	38	5	strong
2	38	2	strong
5	37	6	strong
19	214	9	strong
8	177	10	strong
2	25	2	strong
4	33	1	strong
2	44	2	strong
8	218	9	strong
8	59	12	strong
8	37	7	strong
7	68	0	strong
11	196	5	strong
8	71	8	strong
2	193	2	strong
4	218	9	strong
2	36	3	strong
16	207	10	strong
11	15	4	strong
4	228	4	strong
8	237	7	strong
11	191	3	strong
10	202	11	strong
5	81	19	strong
9	211	9	strong
10	196	5	strong
8	210	6	strong
8	199	9	strong
4	71	2	strong
22	193	7	strong
4	346	10	strong
5	200	4	strong
5	76	17	strong
4	254	5	strong
5	79	19	strong
6	196	0	strong
5	50	4	strong
4	35	0	strong
22	30	7	strong
8	209	9	strong
13	44	6	strong
11	223	18	strong
7	192	4	strong
7	212	5	strong
5	29	6	strong
5	65	3	strong
5	78	18	strong
5	64	17	strong
4	211	4	strong
4	24	2	strong
24	26	11	strong
15	22	6	strong
12	71	2	strong
8	55	10	strong
7	201	3	strong
7	3	0	strong
10	41	5	strong
8	28	5	strong
11	207	3	strong
5	80	18	strong
4	190	1	less
5	72	18	less
11	85	8	less
5	65	14	less
12	6	2	less
8	69	2	less
5	67	17	less
4	16	6	less
8	33	2	less
4	191	3	less
24	36	10	less
7	3	0	less
5	71	17	less
10	46	3	less
10	45	10	less
13	41	2	less
10	59	3	less
12	10	2	less
5	16	0	less
5	61	2	less
11	20	4	less
7	31	2	less
5	73	18	less
5	71	18	less
4	119	1	less
5	30	0	less
4	177	2	less
9	210	14	less
5	55	19	less
5	68	15	less
4	186	5	less
5	84	22	less
4	198	3	less
4	32	2	less
8	187	7	less
5	72	3	less
5	65	18	less
5	71	17	less
3	195	2	less
12	75	4	less
4	94	3	less
4	165	2	less
5	19	3	less
10	52	2	less
5	59	7	less
22	20	7	less
5	47	3	less
5	82	20	less
5	67	16	less
13	60	5	less
4	37	0	less
6	29	3	less
4	7	0	less
17	47	2	less
4	212	6	less
13	51	3	less
5	57	13	less
2	22	2	less
4	182	2	less
5	30	4	less
5	87	19	less
13	60	1	less
14	190	2	less
9	227	3	less
17	200	10	less
7	2	0	less
7	23	2	less
2	190	2	less
3	55	4	less
14	11	2	less
24	36	9	less
22	199	9	less
6	190	2	less
5	86	20	less
3	193	2	less
13	51	5	less
4	42	0	less
5	48	17	less
2	192	0	less
4	199	4	less
5	82	18	less
5	71	16	less
9	18	0	less
4	195	2	less
5	54	16	less
5	64	16	less
5	40	12	less
5	88	18	less
5	65	19	less
5	64	4	less
10	22	2	less
22	199	10	less
7	40	3	less
19	207	11	less
6	191	2	less
12	71	3	less
5	83	17	less
5	70	21	less
4	77	3	less
2	14	4	less
4	73	2	less
3	81	5	less
22	20	7	less
4	63	5	less
8	38	2	less
4	208	3	less
8	38	6	less
4	33	2	less
5	62	6	less
5	50	13	less
4	30	3	less
5	79	20	less
5	68	17	less
13	35	8	less
4	198	1	less
10	40	4	less
6	1	0	less
5	68	16	less
4	87	0	less
5	67	19	less
4	187	1	less
5	64	18	less
4	193	3	less
7	0	0	less
5	66	5	less
11	51	0	less
4	194	3	less
9	16	2	less
5	75	18	less
4	71	3	less
10	28	4	less
5	66	15	less
5	49	1	less
5	70	17	less
5	64	15	less
5	66	19	less
4	15	2	less
9	65	6	less
5	206	4	less
7	3	0	less
5	81	20	less
13	53	1	less
7	63	6	less
4	31	2	less
4	191	1	less
5	66	18	less
4	206	3	less
4	191	2	less
5	57	5	less
4	46	4	less
6	188	0	less
5	59	14	less
5	40	13	less
5	69	22	less
12	10	2	less
5	83	18	less
5	71	15	less
5	67	17	less
5	29	3	less
9	37	5	less
6	187	3	less
5	70	18	less
10	45	4	less
5	64	2	less
5	11	0	less
5	66	17	less
4	200	1	less
5	62	18	less
6	188	0	less
14	15	2	less
7	2	0	less
9	4	2	less
13	34	6	less
4	59	0	less
6	72	7	less
4	40	3	less
5	56	14	less
5	61	13	less
7	7	0	less
5	72	15	less
10	21	6	less
2	168	1	less
4	21	2	less
4	36	1	less
4	76	2	less
4	200	3	less
4	48	1	less
14	27	4	less
6	193	2	less
5	56	13	less
4	51	3	less
7	3	0	less
5	38	1	less
