developers	commits	updates	class
4	142	54	strong
4	104	38	strong
4	122	36	strong
16	119	27	strong
9	104	26	strong
5	76	14	strong
14	196	30	strong
2	45	11	strong
7	108	26	strong
6	65	16	strong
2	85	28	strong
9	147	21	strong
6	103	19	strong
7	128	23	strong
11	177	27	strong
2	13	0	strong
2	11	3	strong
7	95	25	strong
6	93	14	strong
5	94	8	strong
4	142	16	strong
4	182	20	strong
5	92	14	strong
5	124	23	strong
2	87	11	strong
11	169	29	strong
2	18	4	strong
9	113	20	strong
11	163	30	strong
3	107	40	strong
5	145	22	strong
6	139	24	strong
4	50	10	strong
6	41	13	strong
3	73	15	strong
2	81	23	strong
5	138	5	strong
2	100	34	strong
5	107	14	strong
6	88	18	strong
3	94	39	strong
2	77	26	strong
5	49	8	strong
6	131	21	strong
2	112	20	strong
6	156	20	strong
8	194	24	strong
9	184	27	strong
8	150	25	strong
2	76	20	strong
3	104	15	strong
7	40	16	strong
7	33	13	strong
3	93	37	strong
11	177	29	strong
2	92	17	strong
5	91	9	less
4	65	19	less
6	77	24	less
2	114	15	less
2	73	25	less
2	64	25	less
4	157	18	less
2	23	7	less
10	133	20	less
4	124	18	less
2	18	2	less
9	154	21	less
6	135	20	less
2	43	11	less
13	198	30	less
4	137	22	less
4	116	21	less
15	94	20	less
5	130	23	less
2	67	7	less
8	115	16	less
8	137	19	less
16	137	18	less
4	157	25	less
2	25	9	less
2	62	11	less
4	138	30	less
9	198	26	less
4	136	23	less
2	109	15	less
7	150	13	less
5	136	11	less
4	146	19	less
5	34	6	less
4	118	25	less
5	98	24	less
4	104	16	less
4	136	19	less
4	111	19	less
2	130	17	less
15	99	18	less
11	215	23	less
2	93	14	less
9	171	24	less
2	136	16	less
5	171	25	less
2	65	13	less
10	179	29	less
2	73	10	less
6	101	12	less
6	98	41	less
2	117	16	less
6	97	19	less
2	155	21	less
3	99	40	less
11	142	24	less
2	106	14	less
5	13	6	less
6	160	19	less
2	95	10	less
2	94	14	less
6	124	16	less
2	14	2	less
2	119	15	less
2	89	17	less
3	148	16	less
4	112	12	less
2	13	2	less
6	110	20	less
8	93	19	less
2	66	13	less
2	110	10	less
6	150	19	less
2	105	13	less
4	118	19	less
2	102	16	less
3	112	15	less
3	70	15	less
2	54	9	less
4	150	23	less
6	152	22	less
4	106	22	less
8	103	33	less
2	80	6	less
9	157	23	less
2	63	15	less
8	49	12	less
2	50	6	less
6	165	23	less
5	209	20	less
2	126	13	less
3	133	29	less
12	124	26	less
4	164	19	less
2	104	6	less
10	64	15	less
2	113	12	less
20	126	24	less
2	128	18	less
6	170	19	less
2	172	16	less
3	85	39	less
3	126	19	less
4	138	21	less
5	76	8	less
3	115	33	less
2	181	18	less
3	129	25	less
2	109	18	less
2	68	5	less
2	103	19	less
3	118	22	less
2	91	15	less
2	61	5	less
2	56	12	less
7	131	20	less
7	143	18	less
4	138	21	less
2	70	13	less
2	114	17	less
4	151	16	less
2	65	9	less
2	71	6	less
8	156	26	less
2	13	5	less
2	118	12	less
2	123	14	less
2	127	14	less
7	125	19	less
4	138	20	less
4	151	19	less
2	37	5	less
6	159	22	less
4	115	17	less
4	139	19	less
5	173	21	less
2	81	13	less
6	160	21	less
2	60	6	less
5	167	19	less
2	102	12	less
2	97	11	less
3	115	15	less
2	127	17	less
2	112	15	less
6	192	22	less
3	109	20	less
2	130	14	less
8	95	26	less
3	109	10	less
2	77	20	less
4	98	17	less
2	161	15	less
2	48	10	less
5	108	19	less
7	122	18	less
2	88	15	less
