developers	commits	updates	class
2	107	39	strong
4	168	24	strong
2	77	10	strong
2	110	26	strong
2	87	26	strong
6	196	32	strong
6	92	17	strong
2	168	19	strong
6	48	18	strong
9	172	30	strong
6	67	15	strong
6	45	16	strong
2	146	34	strong
2	134	17	strong
6	37	8	strong
6	35	14	strong
8	119	21	strong
2	169	38	strong
5	101	25	strong
2	72	29	strong
2	95	29	strong
6	27	8	strong
6	24	8	strong
8	97	19	strong
10	63	26	strong
6	110	12	strong
6	75	28	strong
2	149	22	strong
2	75	19	strong
3	95	18	strong
2	157	18	strong
6	73	15	strong
6	65	18	strong
2	198	18	strong
6	62	15	strong
6	123	11	strong
11	143	20	strong
5	30	7	strong
2	134	15	strong
2	154	16	strong
2	69	11	strong
4	137	16	strong
2	137	9	strong
7	123	21	strong
6	99	13	strong
2	188	18	strong
6	94	13	strong
6	54	8	strong
2	62	15	strong
4	96	22	strong
4	125	15	strong
2	88	16	strong
2	210	28	strong
6	120	9	strong
7	109	10	strong
2	200	25	strong
2	171	24	strong
4	72	18	strong
4	72	23	strong
6	133	15	strong
2	161	24	strong
2	123	11	strong
6	115	13	strong
2	139	19	strong
4	121	18	strong
2	137	14	strong
2	121	13	strong
4	104	8	strong
6	107	10	strong
10	127	27	strong
2	87	13	strong
6	93	15	strong
2	155	19	strong
6	100	12	strong
5	92	19	strong
2	29	9	strong
6	155	17	strong
7	156	20	strong
6	41	15	strong
2	135	14	strong
2	149	25	strong
6	112	6	strong
2	82	17	strong
2	142	12	strong
4	87	10	strong
6	150	18	strong
3	28	5	strong
6	50	14	strong
2	89	8	strong
2	138	21	strong
6	33	13	strong
5	121	21	strong
4	70	24	strong
2	135	16	strong
2	113	12	strong
6	43	12	strong
2	148	19	strong
4	97	13	strong
2	84	15	strong
2	133	15	strong
6	47	16	strong
6	37	14	strong
6	127	17	strong
6	36	14	strong
6	39	13	strong
6	32	13	strong
2	143	19	strong
6	107	19	strong
6	40	13	strong
2	141	10	strong
2	116	13	strong
2	82	20	strong
6	60	16	strong
6	40	13	strong
6	29	14	strong
2	131	12	strong
8	117	15	strong
2	96	14	strong
3	202	31	strong
4	66	14	strong
6	82	10	strong
2	129	15	strong
6	65	7	strong
2	134	26	strong
6	122	6	strong
6	53	14	strong
2	98	14	strong
4	131	19	strong
2	129	14	strong
4	88	6	strong
2	115	14	strong
2	93	12	strong
2	94	15	strong
6	74	11	strong
2	127	16	strong
8	108	21	strong
5	115	14	strong
4	113	11	strong
6	57	17	strong
6	49	14	strong
6	36	14	strong
2	96	9	strong
2	89	13	strong
6	76	13	strong
6	115	1	strong
2	151	10	strong
4	131	14	strong
2	95	9	strong
2	125	16	strong
4	109	12	strong
4	87	7	strong
2	78	8	strong
6	139	15	strong
7	83	13	strong
2	133	12	strong
4	143	17	strong
2	92	11	strong
2	73	13	strong
6	106	10	strong
2	60	13	strong
6	114	14	strong
2	92	14	strong
7	84	11	strong
2	76	8	strong
8	110	12	strong
4	64	14	strong
2	69	15	strong
7	139	17	strong
4	125	13	strong
6	138	23	strong
2	147	16	strong
6	123	14	strong
2	145	18	strong
6	35	12	strong
2	67	15	strong
3	63	8	strong
8	43	16	strong
6	59	1	strong
6	52	16	strong
6	53	15	strong
6	32	14	strong
2	146	19	strong
4	14	2	strong
6	66	7	strong
6	32	13	strong
6	33	14	strong
6	35	13	strong
2	131	12	strong
6	40	14	strong
2	122	16	strong
2	90	10	strong
4	60	13	strong
2	72	8	strong
6	42	14	strong
6	31	13	strong
2	106	14	strong
6	38	6	strong
6	39	13	strong
7	101	14	strong
2	75	8	strong
7	149	17	strong
4	56	12	strong
2	104	18	strong
2	137	14	strong
2	74	6	strong
2	57	8	strong
2	75	12	strong
6	59	8	strong
6	75	9	strong
2	123	12	strong
2	56	8	strong
7	157	18	strong
4	65	13	strong
4	14	1	strong
5	13	6	strong
2	90	12	strong
6	52	1	strong
3	52	9	strong
6	57	8	strong
2	82	10	strong
2	68	15	strong
6	40	8	less
2	126	18	less
2	51	7	less
6	130	11	less
6	38	12	less
2	81	11	less
4	78	10	less
6	109	11	less
2	63	13	less
4	122	11	less
2	70	7	less
2	69	11	less
2	122	10	less
2	84	8	less
2	71	13	less
4	82	3	less
4	106	9	less
8	84	10	less
2	128	21	less
2	39	6	less
2	81	15	less
6	50	6	less
2	73	12	less
6	76	8	less
2	67	9	less
5	111	14	less
6	58	1	less
4	45	10	less
2	80	13	less
6	58	6	less
4	4	1	less
4	42	9	less
2	58	8	less
6	76	12	less
6	48	13	less
6	25	1	less
6	66	11	less
2	135	18	less
4	94	0	less
2	56	10	less
2	122	12	less
4	53	12	less
6	37	12	less
2	103	6	less
2	121	11	less
2	72	7	less
2	61	10	less
2	81	10	less
2	64	11	less
6	45	12	less
2	80	9	less
6	58	13	less
3	53	9	less
2	79	11	less
4	63	6	less
4	78	0	less
6	75	9	less
6	49	5	less
2	39	15	less
4	94	0	less
2	77	9	less
2	106	8	less
6	57	9	less
4	78	0	less
2	69	8	less
6	67	6	less
6	83	11	less
2	99	15	less
6	132	9	less
6	42	1	less
4	54	6	less
2	19	7	less
2	54	6	less
4	32	0	less
4	75	9	less
4	127	16	less
6	24	6	less
6	98	5	less
6	48	8	less
4	35	2	less
6	75	13	less
2	136	15	less
6	82	15	less
6	28	6	less
6	41	6	less
6	50	10	less
4	73	11	less
6	56	9	less
2	78	9	less
4	35	1	less
4	66	14	less
6	69	9	less
2	76	7	less
6	20	6	less
2	38	8	less
6	24	6	less
6	35	6	less
4	90	11	less
6	23	5	less
6	33	1	less
6	21	6	less
4	32	1	less
6	59	7	less
2	51	4	less
4	58	8	less
6	31	5	less
2	85	7	less
4	81	7	less
4	156	17	less
4	127	23	less
6	139	16	less
6	41	14	less
4	115	13	less
3	56	6	less
2	63	11	less
2	63	8	less
4	25	4	less
6	56	6	less
2	124	10	less
4	51	5	less
4	8	4	less
4	58	15	less
4	25	4	less
2	108	17	less
6	60	4	less
4	55	4	less
4	55	4	less
4	55	4	less
4	55	4	less
2	24	7	less
4	8	4	less
4	8	4	less
2	57	14	less
6	27	6	less
4	8	4	less
6	59	8	less
4	25	4	less
4	168	18	less
4	8	4	less
4	57	7	less
2	60	8	less
6	35	5	less
4	8	4	less
2	68	9	less
2	47	5	less
2	52	9	less
6	49	7	less
2	44	5	less
3	44	2	less
4	25	4	less
6	40	12	less
2	32	6	less
2	119	16	less
6	77	12	less
2	58	8	less
4	55	4	less
2	47	5	less
2	83	10	less
2	83	6	less
4	96	4	less
3	28	2	less
2	47	11	less
4	80	4	less
2	55	5	less
4	47	0	less
4	96	4	less
6	82	15	less
4	80	4	less
4	25	4	less
4	96	4	less
2	46	5	less
6	23	4	less
6	65	12	less
4	80	4	less
6	81	11	less
4	8	4	less
6	65	10	less
3	14	3	less
2	43	3	less
5	112	15	less
5	123	12	less
4	80	4	less
5	74	10	less
2	59	13	less
7	170	25	less
7	95	12	less
4	96	4	less
2	69	12	less
4	49	4	less
4	49	4	less
2	57	6	less
2	55	6	less
6	65	9	less
4	8	4	less
4	62	7	less
5	51	13	less
6	137	15	less
2	24	6	less
6	83	12	less
2	67	16	less
4	80	4	less
4	49	4	less
2	121	12	less
2	49	8	less
5	43	9	less
4	49	4	less
6	42	1	less
4	49	4	less
2	57	8	less
2	50	3	less
4	96	4	less
4	8	4	less
2	97	5	less
4	8	4	less
2	113	7	less
4	47	0	less
6	47	7	less
2	47	9	less
6	57	6	less
6	41	1	less
2	123	12	less
2	114	9	less
2	42	6	less
2	103	9	less
4	37	0	less
2	59	10	less
2	61	9	less
2	53	11	less
2	82	10	less
4	37	0	less
4	37	0	less
2	29	7	less
2	62	6	less
6	80	11	less
2	45	8	less
4	37	0	less
6	124	12	less
2	109	7	less
2	47	5	less
4	106	12	less
2	111	6	less
6	58	10	less
6	64	13	less
2	97	5	less
4	42	8	less
6	48	6	less
4	37	0	less
2	54	13	less
2	112	11	less
6	82	10	less
6	64	12	less
2	82	12	less
4	33	5	less
6	81	12	less
5	103	16	less
2	113	12	less
6	31	6	less
2	62	9	less
6	40	1	less
3	39	5	less
2	64	9	less
3	13	2	less
6	40	6	less
6	23	7	less
4	23	0	less
2	55	12	less
2	18	9	less
6	49	8	less
6	16	1	less
6	33	6	less
4	83	8	less
2	48	8	less
4	53	0	less
4	23	0	less
2	46	9	less
4	114	4	less
2	99	5	less
6	36	6	less
6	28	6	less
2	42	7	less
2	48	7	less
6	26	7	less
6	100	7	less
2	59	11	less
4	20	1	less
6	42	6	less
2	14	6	less
2	34	7	less
6	40	6	less
2	21	7	less
2	30	6	less
4	25	6	less
2	48	12	less
4	17	1	less
6	83	10	less
6	74	12	less
2	53	8	less
2	44	6	less
6	39	11	less
6	39	6	less
4	53	0	less
3	36	5	less
