efficiencySum	efficiencyAvg	efficiencyMax	effectiveSizeSum	effectiveSizeAvg	effectiveSizeMax	constraintSum	constraintAvg	constraintMax	hierarchySum	hierarchyAvg	hierarchyMax	developers	commits	updates	class
2,885832496	0,721458124	1	87,15408715	21,78852179	84,15408715	2,984956925	0,746239231	1	1,872937059	0,468234265	1	4	116	21	less
6,802799706	0,45351998	1	186,8265632	12,45510422	84,15408715	8,354189013	0,556945934	1	5,178547452	0,345236497	1	15	94	20	less
3,986994791	0,797398958	1	162,0678217	32,41356434	84,15408715	2,507262055	0,501452411	1	3,249014747	0,649802949	1	5	130	23	less
1,885832496	0,942916248	1	85,15408715	42,57704358	84,15408715	1,353434686	0,676717343	1	1,660344311	0,830172156	1	2	67	7	less
4,842776565	0,605347071	1	181,1885757	22,64857196	84,15408715	5,631264464	0,703908058	1	5,122381616	0,640297702	1	8	115	16	less
4,964080441	0,620510055	1	168,7712769	21,09640961	84,15408715	5,52207248	0,69025906	1	3,809080603	0,476135075	1	8	137	19	less
6,520591672	0,407536979	1	212,5373817	13,28358636	84,15408715	7,322198711	0,457637419	1	6,297645873	0,393602867	1	16	137	18	less
2,885832496	0,721458124	1	87,15408715	21,78852179	84,15408715	2,984956925	0,746239231	1	1,872937059	0,468234265	1	4	157	25	less
1,885832496	0,942916248	1	85,15408715	42,57704358	84,15408715	1,353434686	0,676717343	1	1,660344311	0,830172156	1	2	25	9	less
1,783986621	0,891993311	1	53,52710364	26,76355182	52,52710364	1,471890192	0,735945096	1	1,662657174	0,831328587	1	2	62	11	less
2,885832496	0,721458124	1	87,15408715	21,78852179	84,15408715	2,984956925	0,746239231	1	1,872937059	0,468234265	1	4	138	30	less
5,945452	0,660605778	1	180,6030546	20,06700606	84,15408715	6,090533417	0,676725935	1	4,489348808	0,498816534	1	9	198	26	less
2,885832496	0,721458124	1	87,15408715	21,78852179	84,15408715	2,984956925	0,746239231	1	1,872937059	0,468234265	1	4	136	23	less
1,885832496	0,942916248	1	85,15408715	42,57704358	84,15408715	1,353434686	0,676717343	1	1,660344311	0,830172156	1	2	109	15	less
3,833711581	0,547673083	0,885832496	119,2289024	17,03270035	84,15408715	3,339667892	0,477095413	0,697947105	2,794833515	0,399261931	0,660344311	7	150	13	less
3,548515241	0,709703048	1	152,0984896	30,41969791	84,15408715	3,566039101	0,71320782	1	3,848895246	0,769779049	1	5	136	11	less
2,885832496	0,721458124	1	87,15408715	21,78852179	84,15408715	2,984956925	0,746239231	1	1,872937059	0,468234265	1	4	146	19	less
3,548515241	0,709703048	1	152,0984896	30,41969791	84,15408715	3,566039101	0,71320782	1	3,848895246	0,769779049	1	5	34	6	less
2,885832496	0,721458124	1	87,15408715	21,78852179	84,15408715	2,984956925	0,746239231	1	1,872937059	0,468234265	1	4	118	25	less
3,169819118	0,633963824	0,885832496	139,6811908	27,93623816	84,15408715	3,195074361	0,639014872	0,815761119	1,590850341	0,318170068	0,662657174	5	98	24	less
2,885832496	0,721458124	1	87,15408715	21,78852179	84,15408715	2,984956925	0,746239231	1	1,872937059	0,468234265	1	4	104	16	less
2,885832496	0,721458124	1	87,15408715	21,78852179	84,15408715	2,984956925	0,746239231	1	1,872937059	0,468234265	1	4	136	19	less
3,3472879	0,836821975	1	150,5530976	37,63827441	84,15408715	2,157884435	0,539471109	1	2,887744419	0,721936105	1	4	111	19	less
1,885832496	0,942916248	1	85,15408715	42,57704358	84,15408715	1,353434686	0,676717343	1	1,660344311	0,830172156	1	2	130	17	less
7,051659323	0,470110622	1	165,6083986	11,04055991	84,15408715	7,720181959	0,514678797	1	5,069696166	0,337979744	1	15	99	18	less
