efficiencySum	efficiencyAvg	efficiencyMax	effectiveSizeSum	effectiveSizeAvg	effectiveSizeMax	constraintSum	constraintAvg	constraintMax	hierarchySum	hierarchyAvg	hierarchyMax	developers	commits	updates	class
7,433684331	0,619473694	0,914312968	286,0484397	23,83736998	109,7175561	8,49872161	0,708226801	1,026056313	8,569551356	0,71412928	0,996126795	12	145	49	strong
1,264945368	0,632472684	0,753067539	49,4907663	24,74538315	47,44325499	1,119266202	0,559633101	0,567547178	1,150910219	0,57545511	0,744035344	2	33	8	strong
2,35777428	0,58944357	0,757247613	118,6461045	29,66152613	55,27907572	1,674356018	0,418589005	0,567547178	2,008363794	0,502090949	0,744035344	4	100	8	strong
2,869652108	0,573930422	0,757247613	120,6936158	24,13872317	55,27907572	2,226075042	0,445215008	0,567547178	2,41523867	0,483047734	0,744035344	5	22	9	strong
1,264945368	0,632472684	0,753067539	49,4907663	24,74538315	47,44325499	1,119266202	0,559633101	0,567547178	1,150910219	0,57545511	0,744035344	2	31	8	strong
7,365731531	0,613810961	0,914312968	294,6038302	24,55031919	109,7175561	7,496219748	0,624684979	1,026056313	8,274820782	0,689568398	0,996126795	12	149	52	strong
3,621583371	0,724316674	0,914312968	157,9299356	31,58598713	109,7175561	3,799808476	0,759961695	1,026056313	4,208497503	0,841699501	0,996126795	5	97	28	strong
9,740581246	0,541143403	0,914312968	291,0779194	16,17099552	109,7175561	9,354802516	0,519711251	1,026056313	8,638960083	0,479942227	0,996126795	18	169	48	strong
2,35777428	0,58944357	0,757247613	118,6461045	29,66152613	55,27907572	1,674356018	0,418589005	0,567547178	2,008363794	0,502090949	0,744035344	4	98	7	strong
3,621583371	0,724316674	0,914312968	157,9299356	31,58598713	109,7175561	3,799808476	0,759961695	1,026056313	4,208497503	0,841699501	0,996126795	5	110	26	strong
2,35777428	0,58944357	0,757247613	118,6461045	29,66152613	55,27907572	1,674356018	0,418589005	0,567547178	2,008363794	0,502090949	0,744035344	4	73	6	strong
7,565516633	0,540394045	0,914312968	251,7411306	17,98150933	109,7175561	7,575825165	0,541130369	1,026056313	7,060874767	0,504348198	0,996126795	14	176	51	strong
2,35777428	0,58944357	0,757247613	118,6461045	29,66152613	55,27907572	1,674356018	0,418589005	0,567547178	2,008363794	0,502090949	0,744035344	4	71	6	strong
7,565516633	0,540394045	0,914312968	251,7411306	17,98150933	109,7175561	7,575825165	0,541130369	1,026056313	7,060874767	0,504348198	0,996126795	14	213	64	strong
7,433684331	0,619473694	0,914312968	286,0484397	23,83736998	109,7175561	8,49872161	0,708226801	1,026056313	8,569551356	0,71412928	0,996126795	12	154	57	strong
2,421148333	0,605287083	0,914312968	167,6616495	41,91541238	109,7175561	2,124025881	0,53100647	0,673788203	1,831865627	0,457966407	0,803484151	4	81	16	strong
5,796647984	0,644071998	0,914312968	197,2667244	21,91852493	109,7175561	5,578785827	0,619865092	1,026056313	5,786582819	0,642953647	0,996126795	9	124	41	strong
6,373366271	0,531113856	0,914312968	223,7472665	18,64560554	109,7175561	5,693777477	0,474481456	0,998609056	5,53106409	0,460922008	0,996126795	12	132	32	strong
5,296647984	0,662080998	0,914312968	196,2667244	24,53334055	109,7175561	4,722794453	0,590349307	1,026056313	5,0489143	0,631114287	0,996126795	8	119	34	strong
4,712164317	0,673166331	0,914312968	214,2090114	30,60128734	109,7175561	5,115584325	0,730797761	1,026056313	5,598332856	0,799761837	0,996126795	7	154	36	strong
6,706699604	0,51589997	0,914312968	224,7472665	17,28825127	109,7175561	6,511615667	0,500893513	0,998609056	6,235911626	0,47968551	0,996126795	13	176	53	strong
5,796647984	0,644071998	0,914312968	197,2667244	21,91852493	109,7175561	5,578785827	0,619865092	1,026056313	5,786582819	0,642953647	0,996126795	9	108	35	strong
5,796647984	0,644071998	0,914312968	197,2667244	21,91852493	109,7175561	5,578785827	0,619865092	1,026056313	5,786582819	0,642953647	0,996126795	9	116	40	strong
5,796647984	0,644071998	0,914312968	197,2667244	21,91852493	109,7175561	5,578785827	0,619865092	1,026056313	5,786582819	0,642953647	0,996126795	9	153	38	strong
5,796647984	0,644071998	0,914312968	197,2667244	21,91852493	109,7175561	5,578785827	0,619865092	1,026056313	5,786582819	0,642953647	0,996126795	9	161	44	strong
5,296647984	0,662080998	0,914312968	196,2667244	24,53334055	109,7175561	4,722794453	0,590349307	1,026056313	5,0489143	0,631114287	0,996126795	8	156	36	strong
7,758908076	0,646575673	0,914312968	315,2412336	26,2701028	109,7175561	7,88989174	0,657490978	1,026056313	8,083394998	0,67361625	0,996126795	12	302	56	strong
5,765204864	0,640578318	0,914312968	231,2368014	25,69297794	109,7175561	6,31980139	0,702200154	1,026056313	6,951444805	0,772382756	0,996126795	9	168	17	strong
8,239964624	0,633843433	0,914312968	330,4943821	25,42264478	109,7175561	7,669960396	0,589996954	1,026056313	8,124954224	0,624996479	0,996126795	13	296	36	strong
5,796647984	0,644071998	0,914312968	197,2667244	21,91852493	109,7175561	5,578785827	0,619865092	1,026056313	5,786582819	0,642953647	0,996126795	9	102	29	strong
6,661371956	0,605579269	0,914312968	307,5216747	27,95651589	109,7175561	5,082712817	0,462064802	1,026056313	6,07645138	0,552404671	0,996126795	11	157	7	strong
8,778306161	0,585220411	0,914312968	373,4352387	24,89568258	109,7175561	7,7300039	0,515333593	1,131047719	7,875737143	0,525049143	0,87907588	15	95	8	strong
3,621583371	0,724316674	0,914312968	157,9299356	31,58598713	109,7175561	3,799808476	0,759961695	1,026056313	4,208497503	0,841699501	0,996126795	5	168	46	strong
3,621583371	0,724316674	0,914312968	157,9299356	31,58598713	109,7175561	3,799808476	0,759961695	1,026056313	4,208497503	0,841699501	0,996126795	5	146	33	strong
2,106463329	0,702154443	0,914312968	137,7114202	45,90380674	109,7175561	2,295528394	0,765176131	1,026056313	2,333294828	0,777764943	0,803484151	3	122	32	strong
6,276552778	0,523046065	0,914312968	217,8649173	18,15540978	109,7175561	5,99855173	0,499879311	0,998609056	5,645356378	0,470446365	0,996126795	12	162	42	strong
5,796647984	0,644071998	0,914312968	197,2667244	21,91852493	109,7175561	5,578785827	0,619865092	1,026056313	5,786582819	0,642953647	0,996126795	9	139	27	strong
2,605700988	0,651425247	0,801056261	76,49759114	19,12439779	55,27907572	2,820055931	0,705013983	0,998609056	3,265038028	0,816259507	0,996126795	4	163	35	strong
3,621583371	0,724316674	0,914312968	157,9299356	31,58598713	109,7175561	3,799808476	0,759961695	1,026056313	4,208497503	0,841699501	0,996126795	5	118	28	strong
7,161371956	0,596780996	0,914312968	308,5216747	25,71013956	109,7175561	5,938704192	0,494892016	1,026056313	6,814119899	0,567843325	0,996126795	12	135	4	strong
5,796647984	0,644071998	0,914312968	197,2667244	21,91852493	109,7175561	5,578785827	0,619865092	1,026056313	5,786582819	0,642953647	0,996126795	9	94	29	strong
5,296647984	0,662080998	0,914312968	196,2667244	24,53334055	109,7175561	4,722794453	0,590349307	1,026056313	5,0489143	0,631114287	0,996126795	8	89	23	strong
7,433684331	0,619473694	0,914312968	286,0484397	23,83736998	109,7175561	8,49872161	0,708226801	1,026056313	8,569551356	0,71412928	0,996126795	12	167	51	strong
3,621583371	0,724316674	0,914312968	157,9299356	31,58598713	109,7175561	3,799808476	0,759961695	1,026056313	4,208497503	0,841699501	0,996126795	5	63	16	strong
6,192807839	0,619280784	0,914312968	296,4392658	29,64392658	109,7175561	5,742916736	0,574291674	1,131047719	5,501832782	0,550183278	0,803484151	10	161	6	strong
7,627702984	0,586746383	0,914312968	314,7798605	24,21383543	109,7175561	6,970207343	0,536169796	1,131047719	6,791055646	0,522388896	0,87907588	13	196	13	strong
